Role,Speed,Endpoint 1 Name,Endpoint 1 Type,Endpoint 1 Interface ID,Endpoint 1 Interface Name,Endpoint 1 IP,Endpoint 2 Name,Endpoint 2 Type,Endpoint 2 Interface ID,Endpoint 2 Interface Name,Endpoint 2 IP,Rack
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/17:0,10.0.0.70/31,sys001_001_035,Server,,nic-00,10.0.0.71/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/17:1,10.0.0.72/31,sys001_001_036,Server,,nic-00,10.0.0.73/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/18:0,10.0.0.74/31,sys001_001_037,Server,,nic-00,10.0.0.75/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/18:1,10.0.0.76/31,sys001_001_038,Server,,nic-00,10.0.0.77/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/19:0,10.0.0.78/31,sys001_001_039,Server,,nic-00,10.0.0.79/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/19:1,10.0.0.80/31,sys001_001_040,Server,,nic-00,10.0.0.81/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/20:0,10.0.0.82/31,sys001_001_041,Server,,nic-00,10.0.0.83/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/20:1,10.0.0.84/31,sys001_001_042,Server,,nic-00,10.0.0.85/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/21:0,10.0.0.86/31,sys001_001_043,Server,,nic-00,10.0.0.87/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/21:1,10.0.0.88/31,sys001_001_044,Server,,nic-00,10.0.0.89/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/22:0,10.0.0.90/31,sys001_001_045,Server,,nic-00,10.0.0.91/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/22:1,10.0.0.92/31,sys001_001_046,Server,,nic-00,10.0.0.93/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/23:0,10.0.0.94/31,sys001_001_047,Server,,nic-00,10.0.0.95/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/23:1,10.0.0.96/31,sys001_001_048,Server,,nic-00,10.0.0.97/31,Rack_03_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/24:0,10.0.0.98/31,sys001_001_049,Server,,nic-00,10.0.0.99/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/24:1,10.0.0.100/31,sys001_001_050,Server,,nic-00,10.0.0.101/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/25:0,10.0.0.102/31,sys001_001_051,Server,,nic-00,10.0.0.103/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/25:1,10.0.0.104/31,sys001_001_052,Server,,nic-00,10.0.0.105/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/26:0,10.0.0.106/31,sys001_001_053,Server,,nic-00,10.0.0.107/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/26:1,10.0.0.108/31,sys001_001_054,Server,,nic-00,10.0.0.109/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/27:0,10.0.0.110/31,sys001_001_055,Server,,nic-00,10.0.0.111/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/27:1,10.0.0.112/31,sys001_001_056,Server,,nic-00,10.0.0.113/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/28:0,10.0.0.114/31,sys001_001_057,Server,,nic-00,10.0.0.115/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/28:1,10.0.0.116/31,sys001_001_058,Server,,nic-00,10.0.0.117/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/29:0,10.0.0.118/31,sys001_001_059,Server,,nic-00,10.0.0.119/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/29:1,10.0.0.120/31,sys001_001_060,Server,,nic-00,10.0.0.121/31,Rack_04_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/30:0,10.0.0.122/31,sys001_001_061,Server,,nic-00,10.0.0.123/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/30:1,10.0.0.124/31,sys001_001_062,Server,,nic-00,10.0.0.125/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/0:0,10.0.0.126/31,sys001_002_001,Server,,nic-00,10.0.0.127/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/0:1,10.0.0.128/31,sys001_002_002,Server,,nic-00,10.0.0.129/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/1:0,10.0.0.130/31,sys001_002_003,Server,,nic-00,10.0.0.131/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/1:1,10.0.0.132/31,sys001_002_004,Server,,nic-00,10.0.0.133/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/2:0,10.0.0.134/31,sys001_002_005,Server,,nic-00,10.0.0.135/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/2:1,10.0.0.136/31,sys001_002_006,Server,,nic-00,10.0.0.137/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/3:0,10.0.0.138/31,sys001_002_007,Server,,nic-00,10.0.0.139/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/3:1,10.0.0.140/31,sys001_002_008,Server,,nic-00,10.0.0.141/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/4:0,10.0.0.142/31,sys001_002_009,Server,,nic-00,10.0.0.143/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/4:1,10.0.0.144/31,sys001_002_010,Server,,nic-00,10.0.0.145/31,Rack_05_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/5:0,10.0.0.146/31,sys001_002_011,Server,,nic-00,10.0.0.147/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/5:1,10.0.0.148/31,sys001_002_012,Server,,nic-00,10.0.0.149/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/6:0,10.0.0.150/31,sys001_002_013,Server,,nic-00,10.0.0.151/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/6:1,10.0.0.152/31,sys001_002_014,Server,,nic-00,10.0.0.153/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/7:0,10.0.0.154/31,sys001_002_015,Server,,nic-00,10.0.0.155/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/7:1,10.0.0.156/31,sys001_002_016,Server,,nic-00,10.0.0.157/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/8:0,10.0.0.158/31,sys001_002_017,Server,,nic-00,10.0.0.159/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/8:1,10.0.0.160/31,sys001_002_018,Server,,nic-00,10.0.0.161/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/9:0,10.0.0.162/31,sys001_002_019,Server,,nic-00,10.0.0.163/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/9:1,10.0.0.164/31,sys001_002_020,Server,,nic-00,10.0.0.165/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/10:0,10.0.0.166/31,sys001_002_021,Server,,nic-00,10.0.0.167/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/10:1,10.0.0.168/31,sys001_002_022,Server,,nic-00,10.0.0.169/31,Rack_06_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/11:0,10.0.0.170/31,sys001_002_023,Server,,nic-00,10.0.0.171/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/11:1,10.0.0.172/31,sys001_002_024,Server,,nic-00,10.0.0.173/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/12:0,10.0.0.174/31,sys001_002_025,Server,,nic-00,10.0.0.175/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/12:1,10.0.0.176/31,sys001_002_026,Server,,nic-00,10.0.0.177/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/13:0,10.0.0.178/31,sys001_002_027,Server,,nic-00,10.0.0.179/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/13:1,10.0.0.180/31,sys001_002_028,Server,,nic-00,10.0.0.181/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/14:0,10.0.0.182/31,sys001_002_029,Server,,nic-00,10.0.0.183/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/14:1,10.0.0.184/31,sys001_002_030,Server,,nic-00,10.0.0.185/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/15:0,10.0.0.186/31,sys001_002_031,Server,,nic-00,10.0.0.187/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/15:1,10.0.0.188/31,sys001_002_032,Server,,nic-00,10.0.0.189/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/16:0,10.0.0.190/31,sys001_002_033,Server,,nic-00,10.0.0.191/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/16:1,10.0.0.192/31,sys001_002_034,Server,,nic-00,10.0.0.193/31,Rack_07_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/17:0,10.0.0.194/31,sys001_002_035,Server,,nic-00,10.0.0.195/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/17:1,10.0.0.196/31,sys001_002_036,Server,,nic-00,10.0.0.197/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/18:0,10.0.0.198/31,sys001_002_037,Server,,nic-00,10.0.0.199/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/18:1,10.0.0.200/31,sys001_002_038,Server,,nic-00,10.0.0.201/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/19:0,10.0.0.202/31,sys001_002_039,Server,,nic-00,10.0.0.203/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/19:1,10.0.0.204/31,sys001_002_040,Server,,nic-00,10.0.0.205/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/20:0,10.0.0.206/31,sys001_002_041,Server,,nic-00,10.0.0.207/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/20:1,10.0.0.208/31,sys001_002_042,Server,,nic-00,10.0.0.209/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/21:0,10.0.0.210/31,sys001_002_043,Server,,nic-00,10.0.0.211/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/21:1,10.0.0.212/31,sys001_002_044,Server,,nic-00,10.0.0.213/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/22:0,10.0.0.214/31,sys001_002_045,Server,,nic-00,10.0.0.215/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/22:1,10.0.0.216/31,sys001_002_046,Server,,nic-00,10.0.0.217/31,Rack_08_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/23:0,10.0.0.218/31,sys001_002_047,Server,,nic-00,10.0.0.219/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/23:1,10.0.0.220/31,sys001_002_048,Server,,nic-00,10.0.0.221/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/24:0,10.0.0.222/31,sys001_002_049,Server,,nic-00,10.0.0.223/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/24:1,10.0.0.224/31,sys001_002_050,Server,,nic-00,10.0.0.225/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/25:0,10.0.0.226/31,sys001_002_051,Server,,nic-00,10.0.0.227/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/25:1,10.0.0.228/31,sys001_002_052,Server,,nic-00,10.0.0.229/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/26:0,10.0.0.230/31,sys001_002_053,Server,,nic-00,10.0.0.231/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/26:1,10.0.0.232/31,sys001_002_054,Server,,nic-00,10.0.0.233/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/27:0,10.0.0.234/31,sys001_002_055,Server,,nic-00,10.0.0.235/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/27:1,10.0.0.236/31,sys001_002_056,Server,,nic-00,10.0.0.237/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/28:0,10.0.0.238/31,sys001_002_057,Server,,nic-00,10.0.0.239/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/28:1,10.0.0.240/31,sys001_002_058,Server,,nic-00,10.0.0.241/31,Rack_09_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/29:0,10.0.0.242/31,sys001_002_059,Server,,nic-00,10.0.0.243/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/29:1,10.0.0.244/31,sys001_002_060,Server,,nic-00,10.0.0.245/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/30:0,10.0.0.246/31,sys001_002_061,Server,,nic-00,10.0.0.247/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_002_1,Leaf,,et-0/0/30:1,10.0.0.248/31,sys001_002_062,Server,,nic-00,10.0.0.249/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/0:0,10.0.0.250/31,sys001_003_001,Server,,nic-00,10.0.0.251/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/0:1,10.0.0.252/31,sys001_003_002,Server,,nic-00,10.0.0.253/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/1:0,10.0.1.2/31,sys001_003_003,Server,,nic-00,10.0.1.3/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/1:1,10.0.1.4/31,sys001_003_004,Server,,nic-00,10.0.1.5/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/2:0,10.0.1.6/31,sys001_003_005,Server,,nic-00,10.0.1.7/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/2:1,10.0.1.8/31,sys001_003_006,Server,,nic-00,10.0.1.9/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/3:0,10.0.1.10/31,sys001_003_007,Server,,nic-00,10.0.1.11/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/3:1,10.0.1.12/31,sys001_003_008,Server,,nic-00,10.0.1.13/31,Rack_10_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/4:0,10.0.1.14/31,sys001_003_009,Server,,nic-00,10.0.1.15/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/4:1,10.0.1.16/31,sys001_003_010,Server,,nic-00,10.0.1.17/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/5:0,10.0.1.18/31,sys001_003_011,Server,,nic-00,10.0.1.19/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/5:1,10.0.1.20/31,sys001_003_012,Server,,nic-00,10.0.1.21/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/6:0,10.0.1.22/31,sys001_003_013,Server,,nic-00,10.0.1.23/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/6:1,10.0.1.24/31,sys001_003_014,Server,,nic-00,10.0.1.25/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/7:0,10.0.1.26/31,sys001_003_015,Server,,nic-00,10.0.1.27/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/7:1,10.0.1.28/31,sys001_003_016,Server,,nic-00,10.0.1.29/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/8:0,10.0.1.30/31,sys001_003_017,Server,,nic-00,10.0.1.31/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/8:1,10.0.1.32/31,sys001_003_018,Server,,nic-00,10.0.1.33/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/9:0,10.0.1.34/31,sys001_003_019,Server,,nic-00,10.0.1.35/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/9:1,10.0.1.36/31,sys001_003_020,Server,,nic-00,10.0.1.37/31,Rack_11_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/10:0,10.0.1.38/31,sys001_003_021,Server,,nic-00,10.0.1.39/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/10:1,10.0.1.40/31,sys001_003_022,Server,,nic-00,10.0.1.41/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/11:0,10.0.1.42/31,sys001_003_023,Server,,nic-00,10.0.1.43/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/11:1,10.0.1.44/31,sys001_003_024,Server,,nic-00,10.0.1.45/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/12:0,10.0.1.46/31,sys001_003_025,Server,,nic-00,10.0.1.47/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/12:1,10.0.1.48/31,sys001_003_026,Server,,nic-00,10.0.1.49/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/13:0,10.0.1.50/31,sys001_003_027,Server,,nic-00,10.0.1.51/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/13:1,10.0.1.52/31,sys001_003_028,Server,,nic-00,10.0.1.53/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/14:0,10.0.1.54/31,sys001_003_029,Server,,nic-00,10.0.1.55/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/14:1,10.0.1.56/31,sys001_003_030,Server,,nic-00,10.0.1.57/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/15:0,10.0.1.58/31,sys001_003_031,Server,,nic-00,10.0.1.59/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/15:1,10.0.1.60/31,sys001_003_032,Server,,nic-00,10.0.1.61/31,Rack_12_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/16:0,10.0.1.62/31,sys001_003_033,Server,,nic-00,10.0.1.63/31,Rack_13_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/16:1,10.0.1.64/31,sys001_003_034,Server,,nic-00,10.0.1.65/31,Rack_13_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/17:0,10.0.1.66/31,sys001_003_035,Server,,nic-00,10.0.1.67/31,Rack_13_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/17:1,10.0.1.68/31,sys001_003_036,Server,,nic-00,10.0.1.69/31,Rack_13_PoD_01
Leaf to Server,400G,leaf001_003_1,Leaf,,et-0/0/18:0,10.0.1.70/31,sys001_003_037,Server,,nic-00,10.0.1.71/31,Rack_13_PoD_01
